NAME;COUNTY;COUNTRY;LATITUDE;LONGITUDE;COMPNAME;CONNNAME;CreationDate
NOT AVAILABLE;HIDALGO;USA;26.497316;-98.128619;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;WILLACY;USA;26.545984;-97.671264;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;HIDALGO;USA;26.56731;-97.98802;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
NOT AVAILABLE;HIDALGO;USA;26.670775;-98.199244;TRUNKLINE GAS CO;TENN;2022/01/08 17:00:16+00
104092725;JIM WELLS;USA;27.361311;-98.064454;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;NUECES;USA;27.67647;-97.617139;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
FLA GAS INTERCONNECT;NUECES;USA;27.67647;-97.617139;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
NET MEXI/NGPL  NUECES;NUECES;USA;27.751295;-97.856755;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
KMTEJAS/NGPL  NUECES;NUECES;USA;27.760086;-97.798264;NAT GAS P L CO OF AMERICA;NAT GAS P L CO OF AMERICA;2022/01/08 17:00:16+00
NOT AVAILABLE;NUECES;USA;27.791235;-97.762926;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
50903675;NOT APPLICABLE;USA;27.967936;-93.19232;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
WC 595;NOT APPLICABLE;USA;28.13843;-93.280689;SEA ROBIN PIPELINE CO;SRAY;2022/01/08 17:00:16+00
WC 595 TO STINGRAY - DEVON;NOT APPLICABLE;USA;28.13843;-93.280689;SEA ROBIN PIPELINE CO;STINGRAY PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;REFUGIO;USA;28.143177;-97.288743;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;BEE;USA;28.191288;-97.700129;TRUNKLINE GAS CO;TRAN;2022/01/08 17:00:16+00
NOT AVAILABLE;BEE;USA;28.191288;-97.700129;TRUNKLINE GAS CO;TRAN;2022/01/08 17:00:16+00
SMI-128;NOT APPLICABLE;USA;28.317121;-91.908954;GARDEN BANKS GATHERING SYSTEM;SEA ROBIN PIPELINE CO;2022/01/08 17:00:16+00
SMI-76;NOT APPLICABLE;USA;28.572495;-91.95945;GARDEN BANKS GATHERING SYSTEM;ANR PIPELINE CO;2022/01/08 17:00:16+00
SMI-76;NOT APPLICABLE;USA;28.572495;-91.95945;GARDEN BANKS GATHERING SYSTEM;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
SMI-76;NOT APPLICABLE;USA;28.572495;-91.95945;GARDEN BANKS GATHERING SYSTEM;TRANSCONTINENTAL GAS P L CO;2022/01/08 17:00:16+00
TGC - TETCO INTERCONNECT-GOLIAD;GOLIAD;USA;28.668935;-97.240547;TRUNKLINE GAS CO;TENN;2022/01/08 17:00:16+00
NOT AVAILABLE;VICTORIA;USA;28.788928;-96.722112;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;MATAGORDA;USA;28.902147;-95.96511;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
NOT AVAILABLE;JACKSON;USA;29.016148;-96.406462;GULF SOUTH PIPELINE CO;GULF SOUTH PIPELINE CO;2022/01/08 17:00:16+00
GULF SUTH INTERCONNECT;JACKSON;USA;29.016148;-96.406462;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
111403975;JACKSON;USA;29.133443;-96.611759;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;JACKSON;USA;29.170168;-96.565322;TENNESSEE GAS PIPELINE CO;TENNESSEE GAS PIPELINE CO;2022/01/08 17:00:16+00
NOT AVAILABLE;JACKSON;USA;29.170168;-96.565322;TEXAS EASTERN TRANS CORP;TEXAS EASTERN TRANS CORP;2022/01/08 17:00:16+00
